Source texts:

Beyond the Door, Philip K. Dick
Bliss and Other Stories, Katherine Mansfield
Crime and Punishment, Fyodor Dostoevsky
Jacob's Room, Virginia Woolf
Monday or Tuesday, Virginia Woolf
Mr Spaceship,  Philip K. Dick
Night and Day, Virginia Woolf
Notes from the Underground, Fyodor Dostoevsky
Second Variety, Philip K. Dick
The Brothers Karamazov, Fyodor Dostoevsky
The Crystal Crypt, Philip K. Dick
The Eyes Have It, Philip K. Dick
The Garden Party and Other Stories, Katherine Mansfield
The Idiot, Fyodor Dostoevsky
The Lady with the Dog and Other Stories, Anton Chekhov
The Skull, Philip K. Dick
The Voyage Out, Virginia Woolf
Tony and the Beetles, Philip K. Dick
